dim1,dim2,herb_name
12.644301,-13.026032,积雪草
10.10037,-14.508122,急性子
10.8993,-12.045366,蒺藜
9.727663,-13.519805,姜黄
9.540847,-13.788605,降香
13.152035,-11.383883,绞股蓝
10.372251,-15.070514,芥子
10.818566,-14.923326,金沸草
13.544133,-11.79132,金果榄
13.455307,-12.042769,金莲花
7.982232,-9.198491,金钱草
10.456367,-10.095335,金荞麦
11.994243,-7.29887,金银花
10.56852,-8.326327,金樱子
11.490546,-11.161848,金盏菊花
13.470962,-12.065994,锦灯笼
13.314782,-11.338153,京大戟
11.736035,-12.899653,荆芥
11.793159,-12.940115,荆芥穗
10.584815,-8.958442,景天三七
8.048851,-9.613987,韭菜子
11.804693,-12.420682,桔梗
12.732048,-10.939347,菊花
12.280614,-9.441695,菊苣
10.924675,-10.685144,橘核
10.510593,-14.953044,橘红
11.272942,-9.765206,橘络
10.942874,-12.071254,橘叶
11.016014,-12.517189,卷柏
11.380971,-10.409491,决明子
15.216175,-11.321685,苦参
15.151703,-11.622817,苦地丁
13.707742,-11.0325575,苦丁茶
14.714063,-11.860079,苦楝皮
13.385299,-12.354982,苦楝子
12.876456,-11.797597,苦杏仁
10.379222,-15.054434,款冬花
12.928676,-9.726748,昆布
8.457372,-14.610228,辣椒
11.096863,-7.437663,莱菔子
10.712723,-12.903705,老鹳草
12.974419,-12.606054,了哥王根
10.384748,-11.476538,雷公藤
14.708809,-11.153658,雷丸
7.9851303,-9.682824,荔枝核
9.319555,-12.860541,连钱草
13.062487,-11.764099,连翘
9.942313,-12.471302,莲房
10.418113,-8.260917,莲须
13.664555,-12.730701,莲子心
10.873783,-12.122698,两面针
8.3431835,-14.564051,两头尖
13.785282,-12.778676,蓼大青叶
10.177127,-8.532939,灵芝
13.206708,-8.582962,凌霄花
11.495201,-11.05583,零陵香
14.757854,-12.240857,龙胆
13.444341,-12.349095,龙葵
11.459086,-7.92686,龙脷叶
13.531899,-12.616886,漏芦
12.229046,-7.489553,芦根
15.166569,-11.31906,芦荟
7.8827443,-9.933944,鹿衔草
10.923158,-10.628985,路路通
9.698534,-10.167325,罗布麻叶
11.022902,-8.097187,罗汉果
10.236458,-10.894097,络石藤
13.11869,-8.9028015,绿豆
13.509252,-10.649314,葎草
10.266504,-15.054462,麻黄
10.690646,-8.470888,麻黄根
9.865327,-11.508883,马鞭草
11.553198,-12.655,马勃
15.082901,-11.467594,马齿苋
13.566183,-11.731056,马兜铃
9.781193,-12.944203,马钱子
15.126756,-11.5728655,马尾莲
11.193828,-7.9258604,麦芽
12.650199,-12.705527,满山红
10.839893,-12.047912,蔓荆子
11.769074,-11.56981,猫眼草
10.084911,-14.449461,猫爪草
