,人参,白术,茯苓,甘草,薏苡仁,桔梗,白扁豆,山药,大枣,黄芪,炙甘草,当归,陈皮,升麻,柴胡,防风,麦冬,五味子,白芍,车前子,苍术,熟地黄,生姜,桂枝,阿胶,火麻仁,泽泻,牡丹皮,枸杞子,菟丝子,鹿角胶,牛膝,黄柏,知母,北沙参,川楝子,山茱萸,附子,肉桂,杜仲,肉苁蓉,巴戟天,石斛,薄荷,莲子,砂仁,荆芥炭,地黄,龟甲胶,龟甲,石菖蒲,何首乌,补骨脂,龙眼肉,酸枣仁,木香,远志
地黄,3.483,4.129,2.732,3.312,3.635,2.793,3.763,2.914,3.382,3.457,3.375,2.403,3.6,2.329,2.598,2.398,1.69,3.033,0.975,0.416,4.288,1.614,3.908,2.91,0.845,3.425,0.832,0.399,1.107,1.486,1.206,0.762,1.023,1.333,1.535,0.887,1.536,2.13,1.626,1.244,0.918,1.399,0.947,2.412,2.531,4.435,2.256,0,0.593,0.249,3.857,1.247,4.017,2.966,0.725,4.257,3.395
龟甲胶,3.732,4.352,3.174,3.797,4.051,2.728,4.1,3.391,3.752,3.761,3.832,2.686,3.641,2.888,2.422,2.599,2.279,3.241,1.374,0.984,4.358,1.178,4.005,3.142,1.226,3.926,1.407,0.677,1.251,1.724,0.83,0.808,1.539,1.926,2.12,1.357,1.066,2.491,1.948,0.929,0.511,1.186,1.539,2.299,2.99,4.541,2.189,0.593,0,0.368,3.992,0.707,4.064,3.285,0.854,4.347,3.511
龟甲,3.647,4.286,2.957,3.549,3.854,2.834,3.958,3.149,3.586,3.64,3.605,2.576,3.687,2.578,2.591,2.541,1.935,3.181,1.052,0.664,4.388,1.483,4.018,3.067,1.036,3.665,1.04,0.368,1.211,1.635,1.095,0.807,1.179,1.57,1.782,1.009,1.387,2.328,1.807,1.16,0.783,1.362,1.189,2.431,2.76,4.549,2.292,0.249,0.368,0,3.981,1.06,4.107,3.153,0.804,4.365,3.51
石菖蒲,0.823,0.705,2.272,2.671,2.101,1.614,1.46,2.539,1.685,1.2,2.415,1.622,0.682,3.333,2.175,1.478,3.719,0.909,4.653,3.633,0.606,3.464,0.262,1.077,3.06,2.877,4.078,4.255,2.771,2.378,3.425,3.197,4.43,3.881,3.625,4.472,3.599,2.058,2.33,3.274,3.614,2.967,3.757,2.029,2.418,0.604,1.988,3.857,3.992,3.981,0,3.862,0.612,1.423,3.179,0.493,0.489
何首乌,3.749,4.319,3.469,4.138,4.284,2.415,4.222,3.73,3.928,3.849,4.13,2.792,3.409,3.382,2,2.61,2.861,3.225,2.079,1.572,4.142,0.558,3.828,3.16,1.6,4.293,2.079,1.384,1.379,1.863,0.44,1.008,2.239,2.548,2.693,2.063,0.411,2.706,2.156,0.589,0.408,0.895,2.154,1.957,3.315,4.361,1.911,1.247,0.707,1.06,3.862,0,3.827,3.407,1.111,4.154,3.373
补骨脂,1.409,1.276,2.795,3.248,2.704,1.431,2.071,3.084,2.275,1.793,2.999,2.007,0.423,3.808,1.952,1.765,4.112,1.341,4.881,3.848,0.33,3.37,0.35,1.514,3.276,3.458,4.349,4.414,2.91,2.591,3.404,3.302,4.699,4.225,4.001,4.713,3.516,2.454,2.617,3.257,3.635,2.949,4.054,1.888,2.917,0.618,1.917,4.017,4.064,4.107,0.612,3.827,0,1.948,3.306,0.405,0.736
龙眼肉,0.663,1.301,0.85,1.35,1.022,1.985,0.819,1.138,0.568,0.495,1.142,0.615,1.734,1.922,2.436,0.881,2.391,0.655,3.577,2.64,2.027,3.193,1.637,0.52,2.122,1.567,2.947,3.34,2.06,1.569,2.986,2.496,3.286,2.624,2.326,3.379,3.285,0.851,1.346,2.849,3.055,2.589,2.592,2.157,0.999,1.989,1.983,2.966,3.285,3.153,1.423,3.407,1.948,0,2.433,1.915,1.253
酸枣仁,2.881,3.507,2.381,3.037,3.23,2.069,3.249,2.628,2.911,2.907,3.043,1.832,2.886,2.291,1.901,1.755,1.855,2.397,1.674,0.727,3.584,1.215,3.213,2.292,0.496,3.186,1.338,1.114,0.409,0.87,0.819,0.113,1.629,1.623,1.682,1.551,1.206,1.656,1.105,0.769,0.705,0.785,1.249,1.698,2.215,3.745,1.534,0.725,0.854,0.804,3.179,1.111,3.306,2.433,0,3.56,2.707
木香,1.298,0.988,2.762,3.14,2.54,1.792,1.876,3.024,2.147,1.662,2.878,2.097,0.761,3.826,2.329,1.918,4.202,1.389,5.084,4.057,0.147,3.717,0.349,1.56,3.482,3.342,4.526,4.655,3.156,2.796,3.725,3.567,4.877,4.352,4.104,4.908,3.86,2.538,2.778,3.575,3.939,3.266,4.213,2.241,2.911,0.218,2.246,4.257,4.347,4.365,0.493,4.154,0.405,1.915,3.56,0,0.868
远志,0.842,1.067,2.086,2.591,2.121,1.172,1.564,2.389,1.661,1.211,2.36,1.273,0.485,3.076,1.733,1.054,3.38,0.616,4.216,3.189,0.923,2.98,0.52,0.785,2.614,2.806,3.66,3.794,2.3,1.928,2.936,2.72,4.012,3.506,3.273,4.04,3.113,1.72,1.915,2.786,3.126,2.478,3.353,1.562,2.195,1.04,1.507,3.395,3.511,3.51,0.489,3.373,0.736,1.253,2.707,0.868,0
