石斛,麦冬,黄连,淡竹叶,知母,甘草
地黄,丹参,黄连,玄参,麦冬,连翘,淡竹叶,金银花
木通,栀子,黄芩
地黄,知母,牡丹皮
肉桂,大黄,黄连,木香,槟榔
柴胡,泽泻,木通,栀子,地黄
白扁豆,厚朴
麻黄,荆芥炭,防风,薄荷,大黄,芒硝,滑石粉,栀子,连翘,川芎,当归,白芍,白术,石膏,黄芩,桔梗,甘草
黄芩,炙甘草,黄连
栀子,淡竹叶,甘草,大黄,芒硝,薄荷,黄芩,蜂蜜
鳖甲,地黄,知母,牡丹皮
黄柏,秦皮,黄连
地黄,淡竹叶,甘草
天花粉,川贝母,赤芍,没药,乳香,当归,防风,皂角刺,陈皮,白芷,甘草
知母,地骨皮,胡黄连,秦艽,青蒿,鳖甲,甘草
熟地黃,地黄
