,白扁豆,白芍,白术,白头翁,白芷,板蓝根,半夏,薄荷,鳖甲,槟榔,柴胡,陈皮,赤芍,川贝母,川芎,大黄,丹参,淡竹叶,当归,地骨皮,地黄,防风,蜂蜜,茯苓,甘草,葛根,厚朴,胡黄连,滑石粉,黄柏,黄连,黄芪,黄芩,僵蚕,金银花,荆芥炭,桔梗,连翘,龙胆,麻黄,马勃,麦冬,芒硝,没药,牡丹皮,木通,木香,牛蒡子,牛膝,秦艽,秦皮,青蒿,人参,肉桂,乳香,桑白皮,升麻,石膏,石斛,熟地黄,水牛角,天花粉,吴茱萸,西洋参,香薷,玄参,银柴胡,皂角刺,泽泻,知母,栀子,炙甘草,猪苓
石斛,2.703,2.208,2.931,2.127,4.032,1.831,3.308,3.847,1.299,4.065,2.739,3.409,2.027,1.053,2.77,2.741,2.702,0.929,2.443,0.788,0.907,2.625,2.046,1.637,1.884,2.07,3.792,2.246,0.703,1.507,2.567,2.545,2.256,3.7,0.975,3.504,3.953,1.584,2.353,3.825,3.959,1.105,2.105,3.089,2.764,1.766,3.863,0.791,1.26,2.925,2.371,2.519,2.346,2.24,2.763,0.54,1.692,0.523,0,1.293,2.582,0.584,2.642,1.212,3.679,0.542,0.319,3.2,0.479,0.409,1.25,1.882,0.794
熟地黄,1.629,2.044,1.827,2.48,2.769,2.351,2.094,2.56,0.993,2.83,2.136,2.149,1.739,2.27,1.496,2.814,2.498,2.146,1.152,0.507,0.617,1.346,1.554,1.495,1.73,1.049,2.558,2.272,1.711,1.559,2.771,1.54,2.683,2.424,2.031,2.212,2.698,2.388,1.85,2.538,2.671,2.14,2.253,1.976,2.36,2.466,2.645,1.575,0.278,1.955,2.031,1.871,1.476,1.04,1.524,1.746,0.916,1.661,1.293,0,2.419,1.875,1.539,2.39,2.388,1.758,1.009,1.908,1.215,1.656,1.962,1.742,0.885
水牛角,3.845,0.39,3.976,0.982,4.32,1.292,3.975,3.551,1.478,4.516,0.88,3.837,0.68,2.661,2.717,0.56,0.132,3.364,2.762,2.367,2.009,3.134,3.967,3.817,4.073,3.393,4.29,0.429,3.284,1.075,0.754,3.832,1.14,3.318,3.534,3.514,3.331,1.806,0.748,3.92,3.664,2.208,0.653,2.193,0.486,1.621,4.423,1.912,2.142,1.732,0.452,0.979,3.851,2.197,2.512,3.064,3.335,3.089,2.582,2.419,0,2.806,2,2.596,3.695,2.502,2.363,3.236,2.956,2.548,1.675,4.081,2.955
天花粉,3.258,2.464,3.489,2.16,4.614,1.81,3.884,4.423,1.733,4.643,3.114,3.991,2.347,0.571,3.342,2.853,2.935,0.566,3.024,1.369,1.44,3.209,2.498,2.029,2.251,2.627,4.37,2.421,0.747,1.774,2.631,3.089,2.236,4.272,0.836,4.086,4.516,1.418,2.718,4.409,4.537,0.842,2.24,3.611,3.068,1.644,4.438,0.895,1.825,3.408,2.679,2.921,2.869,2.797,3.325,0.422,2.228,0.54,0.584,1.875,2.806,0,3.168,0.761,4.262,0.306,0.877,3.781,0.899,0.281,1.224,2.244,1.308
吴茱萸,2.189,1.798,2.242,2.647,2.325,2.739,2.078,1.583,1.516,2.534,1.227,1.883,1.527,3.389,0.758,2.553,1.996,3.565,0.973,1.924,1.736,1.318,2.815,2.937,3.134,1.986,2.325,2.148,3.199,1.878,2.677,2.264,2.868,1.359,3.518,1.514,1.468,3.05,1.257,1.92,1.7,3.087,2.279,0.448,1.644,3.002,2.465,2.513,1.423,0.521,1.56,1.033,2.419,0.544,0.528,3.165,2.185,3.106,2.642,1.539,2,3.168,0,3.442,1.694,2.954,2.322,1.245,2.71,2.9,2.674,3.149,2.422
西洋参,3.903,2.322,4.127,1.757,5.158,1.384,4.471,4.845,1.927,5.217,3.105,4.539,2.305,0.193,3.758,2.496,2.728,1.176,3.494,1.899,1.837,3.732,3.233,2.781,3.008,3.27,4.944,2.172,1.501,1.728,2.23,3.751,1.764,4.669,1.531,4.557,4.871,0.879,2.715,4.909,4.962,0.396,1.958,3.863,2.955,1.119,5.026,0.929,2.265,3.578,2.594,2.965,3.558,3.167,3.697,1.178,2.903,1.3,1.212,2.39,2.596,0.761,3.442,0,4.741,0.67,1.404,4.242,1.626,0.803,0.928,3.002,2.002
香薷,1.614,3.479,1.474,4.289,0.664,4.326,0.933,0.445,2.944,0.927,2.894,0.591,3.19,4.639,1.037,4.247,3.687,4.494,1.247,2.894,2.904,1.078,2.757,3.146,3.224,1.955,0.816,3.825,4.009,3.436,4.361,1.822,4.512,0.587,4.312,0.191,0.911,4.55,2.95,0.229,0.47,4.445,3.937,1.597,3.324,4.549,0.96,3.854,2.477,2.053,3.253,2.724,2.13,1.65,1.197,4.105,2.386,4.005,3.679,2.388,3.695,4.262,1.694,4.741,0,4.136,3.394,0.507,3.531,4.041,4.137,3.243,3.12
玄参,3.236,2.163,3.462,1.862,4.524,1.518,3.82,4.271,1.481,4.572,2.831,3.902,2.055,0.52,3.184,2.549,2.631,0.871,2.89,1.256,1.255,3.104,2.577,2.144,2.381,2.603,4.298,2.115,0.969,1.477,2.331,3.082,1.947,4.108,1.114,3.956,4.335,1.16,2.433,4.294,4.386,0.609,1.935,3.392,2.771,1.374,4.375,0.592,1.667,3.163,2.383,2.646,2.888,2.616,3.148,0.659,2.233,0.748,0.542,1.758,2.502,0.306,2.954,0.67,4.136,0,0.753,3.645,0.977,0.139,0.927,2.377,1.334
银柴胡,2.506,1.98,2.727,2.016,3.772,1.759,3.07,3.547,1.008,3.819,2.454,3.15,1.772,1.27,2.465,2.574,2.478,1.247,2.152,0.504,0.587,2.354,1.979,1.634,1.893,1.875,3.546,2.058,0.966,1.293,2.428,2.364,2.169,3.395,1.263,3.216,3.642,1.604,2.075,3.548,3.661,1.213,1.941,2.77,2.507,1.753,3.624,0.751,0.949,2.609,2.117,2.227,2.197,1.926,2.451,0.852,1.539,0.817,0.319,1.009,2.363,0.877,2.322,1.404,3.394,0.753,0,2.909,0.594,0.647,1.219,1.894,0.727
皂角刺,1.426,3.002,1.355,3.795,1.085,3.824,0.959,0.682,2.438,1.29,2.467,0.68,2.706,4.144,0.537,3.782,3.237,4.036,0.757,2.413,2.406,0.673,2.469,2.803,2.912,1.616,1.093,3.345,3.564,2.933,3.884,1.602,4.018,0.63,3.874,0.317,0.988,4.043,2.488,0.708,0.781,3.942,3.448,1.242,2.889,4.044,1.238,3.351,1.981,1.662,2.789,2.277,1.88,1.146,0.724,3.642,2.016,3.547,3.2,1.908,3.236,3.781,1.245,4.242,0.507,3.645,2.909,0,3.078,3.553,3.631,2.931,2.68
泽泻,2.387,2.572,2.621,2.581,3.815,2.298,3.053,3.748,1.563,3.817,3.003,3.195,2.353,1.449,2.704,3.163,3.07,0.966,2.336,0.79,1.066,2.455,1.607,1.168,1.41,1.765,3.546,2.651,0.496,1.887,3.007,2.208,2.72,3.627,0.816,3.367,3.91,2.063,2.635,3.654,3.855,1.57,2.528,3.157,3.084,2.244,3.602,1.259,1.287,3.061,2.697,2.763,1.976,2.245,2.739,0.595,1.345,0.48,0.479,1.215,2.956,0.899,2.71,1.626,3.531,0.977,0.594,3.078,0,0.838,1.725,1.407,0.432
知母,3.111,2.198,3.337,1.95,4.417,1.615,3.705,4.186,1.452,4.459,2.834,3.794,2.071,0.644,3.101,2.623,2.675,0.817,2.797,1.151,1.181,3.001,2.438,2.005,2.243,2.477,4.185,2.172,0.852,1.503,2.414,2.954,2.045,4.028,1.022,3.862,4.263,1.281,2.438,4.195,4.3,0.743,2,3.341,2.796,1.489,4.26,0.639,1.582,3.13,2.406,2.64,2.755,2.543,3.073,0.555,2.102,0.631,0.409,1.656,2.548,0.281,2.9,0.803,4.041,0.139,0.647,3.553,0.838,0,1.021,2.239,1.199
栀子,3.586,1.394,3.788,0.935,4.631,0.594,4.029,4.175,1.197,4.734,2.193,4.032,1.395,0.986,3.112,1.64,1.807,1.787,2.922,1.572,1.345,3.218,3.193,2.848,3.104,2.979,4.468,1.258,1.866,0.839,1.408,3.477,1.025,3.978,2.04,3.947,4.137,0.427,1.809,4.328,4.295,0.535,1.053,3.066,2.027,0.535,4.569,0.471,1.752,2.734,1.67,2.071,3.355,2.498,3.008,1.576,2.708,1.646,1.25,1.962,1.675,1.224,2.674,0.928,4.137,0.927,1.219,3.631,1.725,1.021,0,3.104,1.946
炙甘草,1.689,3.692,1.901,3.898,3.278,3.653,2.469,3.594,2.603,3.174,3.878,2.735,3.414,2.815,2.785,4.394,4.175,2.044,2.369,1.719,2.075,2.265,0.505,0.266,0.02,1.316,2.935,3.855,1.545,3.082,4.284,1.467,4.06,3.559,1.684,3.134,3.908,3.463,3.579,3.281,3.673,2.976,3.776,3.536,4.083,3.633,2.936,2.633,1.992,3.628,3.732,3.612,1.146,2.606,2.931,1.845,0.974,1.715,1.882,1.742,4.081,2.244,3.149,3.002,3.243,2.377,1.894,2.931,1.407,2.239,3.104,0,1.176
猪苓,1.958,2.565,2.192,2.722,3.388,2.482,2.622,3.355,1.491,3.386,2.875,2.769,2.309,1.835,2.334,3.233,3.058,1.39,1.95,0.605,0.956,2.042,1.262,0.912,1.173,1.334,3.115,2.699,0.889,1.924,3.113,1.783,2.885,3.245,1.194,2.961,3.542,2.325,2.533,3.236,3.459,1.89,2.609,2.861,3.015,2.479,3.171,1.477,1.031,2.818,2.643,2.62,1.563,1.924,2.391,1.027,0.921,0.91,0.794,0.885,2.955,1.308,2.422,2.002,3.12,1.334,0.727,2.68,0.432,1.199,1.946,1.176,0
