,白扁豆,白芍,白术,白头翁,白芷,板蓝根,半夏,薄荷,鳖甲,槟榔,柴胡,陈皮,赤芍,川贝母,川芎,大黄,丹参,淡竹叶,当归,地骨皮,地黄,防风,蜂蜜,茯苓,甘草,葛根,厚朴,胡黄连,滑石粉,黄柏,黄连,黄芪,黄芩,僵蚕,金银花,荆芥炭,桔梗,连翘,龙胆,麻黄,马勃,麦冬,芒硝,没药,牡丹皮,木通,木香,牛蒡子,牛膝,秦艽,秦皮,青蒿,人参,肉桂,乳香,桑白皮,升麻,石膏,石斛,熟地黄,水牛角,天花粉,吴茱萸,西洋参,香薷,玄参,银柴胡,皂角刺,泽泻,知母,栀子,炙甘草,猪苓
厚朴,1.253,4.028,1.035,4.765,0.366,4.746,0.495,1.242,3.318,0.273,3.551,0.455,3.719,4.816,1.577,4.824,4.301,4.503,1.582,3.046,3.149,1.252,2.43,2.902,2.915,1.801,0,4.36,3.984,3.862,4.903,1.474,4.987,1.403,4.261,0.912,1.717,4.893,3.543,0.646,1.23,4.696,4.44,2.329,3.966,4.93,0.148,4.121,2.724,2.756,3.838,3.349,1.791,2.117,1.797,4.14,2.248,4.025,3.792,2.558,4.29,4.37,2.325,4.944,0.816,4.298,3.546,1.093,3.546,4.185,4.468,2.935,3.115
胡黄连,3.794,0.352,3.946,0.585,4.425,0.867,4.007,3.728,1.285,4.599,1.185,3.904,0.641,2.244,2.811,0.544,0.559,2.984,2.793,2.137,1.785,3.156,3.79,3.589,3.849,3.293,4.36,0,2.942,0.776,0.543,3.757,0.775,3.501,3.176,3.639,3.554,1.377,0.921,4.045,3.845,1.788,0.226,2.41,0.867,1.196,4.487,1.532,1.995,1.972,0.64,1.2,3.74,2.243,2.628,2.703,3.18,2.739,2.246,2.272,0.429,2.421,2.148,2.172,3.825,2.115,2.058,3.345,2.651,2.172,1.258,3.855,2.699
滑石粉,2.789,2.911,3.025,2.782,4.267,2.46,3.489,4.237,1.974,4.252,3.42,3.651,2.726,1.309,3.199,3.425,3.405,0.534,2.827,1.275,1.516,2.931,1.867,1.359,1.554,2.186,3.984,2.942,0,2.21,3.236,2.595,2.89,4.119,0.321,3.848,4.405,2.129,3.04,4.124,4.342,1.57,2.792,3.646,3.463,2.34,4.031,1.443,1.776,3.535,3.071,3.192,2.334,2.74,3.235,0.325,1.746,0.221,0.703,1.711,3.284,0.747,3.199,1.501,4.009,0.969,0.966,3.564,0.496,0.852,1.866,1.545,0.889
黄柏,3.149,0.703,3.322,0.931,3.98,0.891,3.463,3.424,0.576,4.118,1.382,3.412,0.586,1.74,2.4,1.311,1.195,2.318,2.281,1.368,1.023,2.618,3.036,2.816,3.077,2.603,3.862,0.776,2.21,0,1.222,3.085,1.144,3.216,2.466,3.245,3.345,1.177,0.988,3.641,3.544,1.335,0.704,2.247,1.294,1.126,3.977,0.89,1.291,1.899,0.906,1.238,3.035,1.787,2.264,1.998,2.445,2.018,1.507,1.559,1.075,1.774,1.878,1.728,3.436,1.477,1.293,2.933,1.887,1.503,0.839,3.082,1.924
黄连,4.322,0.882,4.479,0.477,4.966,0.848,4.55,4.252,1.778,5.142,1.629,4.447,1.183,2.342,3.352,0.299,0.835,3.195,3.336,2.583,2.243,3.698,4.257,4.018,4.28,3.805,4.903,0.543,3.236,1.222,0,4.276,0.5,4.022,3.436,4.176,4.058,1.357,1.43,4.582,4.367,1.884,0.518,2.915,1.237,1.127,5.03,1.794,2.497,2.463,1.131,1.695,4.245,2.786,3.165,2.966,3.666,3.023,2.567,2.771,0.754,2.631,2.677,2.23,4.361,2.331,2.428,3.884,3.007,2.414,1.408,4.284,3.113
黄芪,0.222,3.486,0.445,4.013,1.811,3.89,1.002,2.212,2.51,1.722,3.328,1.279,3.166,3.597,1.649,4.286,3.887,3.127,1.3,1.915,2.145,1.023,0.963,1.43,1.447,0.498,1.474,3.757,2.595,3.085,4.276,0,4.219,2.223,2.849,1.74,2.587,3.899,3.156,1.832,2.275,3.576,3.765,2.533,3.659,3.994,1.487,3.055,1.796,2.785,3.401,3.071,0.321,1.78,1.862,2.797,0.863,2.672,2.545,1.54,3.832,3.089,2.264,3.751,1.822,3.082,2.364,1.602,2.208,2.954,3.477,1.467,1.783
黄芩,4.29,1.112,4.466,0.223,5.085,0.43,4.6,4.45,1.719,5.238,1.959,4.534,1.342,1.891,3.482,0.796,1.25,2.791,3.405,2.412,2.103,3.751,4.089,3.798,4.058,3.732,4.987,0.775,2.89,1.144,0.5,4.219,0,4.227,3.061,4.323,4.302,0.885,1.683,4.726,4.568,1.443,0.595,3.161,1.619,0.646,5.106,1.465,2.424,2.735,1.413,1.967,4.151,2.885,3.318,2.6,3.537,2.671,2.256,2.683,1.14,2.236,2.868,1.764,4.512,1.947,2.169,4.018,2.72,2.045,1.025,4.06,2.885
僵蚕,2.038,3.149,1.942,4.007,1.221,4.09,1.462,0.238,2.786,1.501,2.474,1.127,2.886,4.588,0.931,3.877,3.294,4.57,1.295,2.916,2.853,1.295,3.099,3.425,3.54,2.243,1.403,3.501,4.119,3.216,4.022,2.223,4.227,0,4.434,0.534,0.366,4.372,2.593,0.785,0.346,4.342,3.637,1.137,2.909,4.342,1.547,3.753,2.448,1.607,2.893,2.339,2.508,1.503,0.974,4.171,2.633,4.084,3.7,2.424,3.318,4.272,1.359,4.669,0.587,4.108,3.395,0.63,3.627,4.028,3.978,3.559,3.245
金银花,3.049,3.169,3.285,2.971,4.552,2.632,3.767,4.549,2.269,4.528,3.712,3.94,3,1.34,3.516,3.641,3.658,0.384,3.14,1.595,1.827,3.234,2.062,1.536,1.696,2.46,4.261,3.176,0.321,2.466,3.436,2.849,3.061,4.434,0,4.154,4.723,2.254,3.328,4.423,4.653,1.676,3.014,3.966,3.736,2.479,4.303,1.652,2.096,3.85,3.343,3.489,2.573,3.061,3.555,0.473,2.015,0.453,0.975,2.031,3.534,0.836,3.518,1.531,4.312,1.114,1.263,3.874,0.816,1.022,2.04,1.684,1.194
荆芥炭,1.543,3.294,1.425,4.1,0.821,4.136,0.928,0.472,2.754,1.062,2.722,0.593,3.003,4.456,0.846,4.064,3.509,4.328,1.066,2.718,2.72,0.924,2.655,3.024,3.114,1.831,0.912,3.639,3.848,3.245,4.176,1.74,4.323,0.534,4.154,0,0.891,4.359,2.768,0.407,0.54,4.258,3.748,1.441,3.149,4.358,1.06,3.667,2.293,1.889,3.07,2.545,2.04,1.459,1.01,3.937,2.252,3.839,3.504,2.212,3.514,4.086,1.514,4.557,0.191,3.956,3.216,0.317,3.367,3.862,3.947,3.134,2.961
