xx,yy,herb,properties,rgb
-3.0025796889999996,-0.276521504,桂枝,"四气五味：辛,甘,温；归经：心,肺,膀胱","rgb(163,162,162)"
-3.841306448,-3.1530408860000003,阿胶,"四气五味：甘,平；归经：肺,肝,肾","rgb(11,100,68)"
-4.049615383,-0.543394983,火麻仁,"四气五味：甘,平；归经：脾,胃,大肠","rgb(138,157,121)"
-2.297468424,-3.011219263,泽泻,"四气五味：甘,淡,寒；归经：肾,膀胱","rgb(0,100,117)"
-1.513089895,-2.76542902,牡丹皮,"四气五味：苦,辛,微寒；归经：心,肝,肾","rgb(0,111,112)"
-3.8657882210000003,-3.7432861330000002,枸杞子,"四气五味：甘,平；归经：肝,肾","rgb(0,80,64)"
-4.109154224,-2.61918664,菟丝子,"四气五味：辛,甘,平；归经：肝,肾,脾","rgb(92,112,41)"
-2.597402573,-4.429816246000001,鹿角胶,"四气五味：甘,咸,温；归经：肾,肝","rgb(0,46,70)"
-3.5906929969999997,-3.355566978,牛膝,"四气五味：苦,甘,酸,平；归经：肝,肾","rgb(0,92,79)"
-2.100105047,-2.541544199,黄柏,"四气五味：苦,寒；归经：肾,膀胱","rgb(9,118,129)"
-2.701319695,-2.368893623,知母,"四气五味：苦,甘,寒；归经：肺,胃,肾","rgb(56,123,128)"
-2.664515972,-1.804931641,北沙参,"四气五味：甘,微苦,微寒；归经：肺,胃","rgb(108,134,142)"
-1.91862309,-2.582026482,川楝子,"四气五味：苦,寒,有小毒；归经：肝,小肠,膀胱","rgb(0,117,126)"
-1.9778494830000002,-4.042625903999999,山茱萸,"四气五味：酸,涩,微温；归经：肝,肾","rgb(0,62,83)"
-3.960914612,-1.899103045,附子,"四气五味：辛,甘,大热,有毒；归经：心,肾,脾","rgb(120,135,69)"
-3.7650556560000004,-2.320254803,肉桂,"四气五味：辛,甘,大热；归经：肾,脾,心,肝","rgb(82,127,74)"
-2.559403658,-3.5926997660000004,杜仲,"四气五味：甘,温；归经：肝,肾","rgb(0,73,99)"
-2.753558159,-4.271862507,肉苁蓉,"四气五味：甘,咸,温；归经：肾,大肠","rgb(0,49,75)"
-2.083695889,-3.4655020239999996,巴戟天,"四气五味：甘,辛,微温；归经：肾,肝","rgb(0,82,104)"
-2.545398951,-2.752537489,石斛,"四气五味：甘,微寒；归经：胃,肾","rgb(12,110,120)"
-1.41849494,-0.615175426,薄荷,"四气五味：辛,凉；归经：肺,肝","rgb(124,129,131)"
-4.61407423,-1.565720201,莲子,"四气五味：甘,涩,平；归经：脾,肾,心","rgb(175,113,45)"
-2.168384314,1.319137931,砂仁,"四气五味：辛,温；归经：脾,胃,肾","rgb(199,74,36)"
-1.60704124,-0.711083055,荆芥炭,"四气五味：辛,涩,微温；归经：肺,肝","rgb(132,132,133)"
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾","rgb(0,85,99)"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心","rgb(0,59,76)"
-3.057582855,-3.7283329960000002,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心","rgb(0,70,89)"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃","rgb(142,144,56)"
-2.4959867,-3.9736080169999997,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾","rgb(3,58,87)"
-2.003940582,0.8999441859999999,补骨脂,"四气五味：辛,苦,温；归经：肾,脾","rgb(138,133,47)"
-3.4250743389999996,-0.16085466699999998,龙眼肉,"四气五味：甘,温；归经：心,脾","rgb(161,160,160)"
-3.735731125,-3.6329350469999997,酸枣仁,"四气五味：甘,酸,平；归经：肝,胆,心","rgb(0,82,70)"
-2.563746929,1.226793647,木香,"四气五味：辛,苦,温；归经：脾,胃,大肠,三焦,胆","rgb(221,58,75)"
-2.309523344,0.324441075,远志,"四气五味：苦,辛,温；归经：心,肾,肺","rgb(144,151,151)"
-1.73198545,-1.045446277,川芎,"四气五味：辛,温；归经：肝,胆,心包","rgb(129,132,137)"
